Isochrones of the models from:

- Baraffe, Chabrier, Barman, Allard, Hauschildt, 2003, A&A, accepted
   "Evolutionary models for cool brown dwarfs and extrasolar giant planets.
    The case of HD 209458"
    
 NOTE: -M/Ms ---> mass in Msun
       -L/Ls ---> log L/Lsun
       -g    ---> log g
       -R    ---> radius R/Rsun
       -Absolute magnitudes VRI in Cousins System of Bessell
       - JHK  in CIT-system - L' (Mll) in Johnson-Glass - M in Johnson system.


   t (Gyr) =   0.100
--------------------------------------------------------------------------------
 M/Ms    Teff      L/Ls     g     R     Mv     Mr       Mi    Mj     Mh      Mk    Mll    Mm
--------------------------------------------------------------------------------
 0.0005   240.   -7.418  3.020  0.114  41.98  37.51  34.00  28.42  26.59  37.66  19.57  17.64  
 0.0010   309.   -6.957  3.300  0.117  32.58  28.68  25.89  22.43  22.38  29.11  17.41  15.69  
 0.0020   425.   -6.383  3.580  0.120  29.69  25.62  22.79  20.05  19.76  23.13  15.94  14.55  
 0.0030   493.   -6.112  3.746  0.121  28.71  24.48  21.66  18.88  18.57  20.88  15.21  13.93  
 0.0040   563.   -5.880  3.869  0.122  28.09  23.77  20.95  17.95  17.71  19.35  14.59  13.50  
 0.0050   630.   -5.686  3.965  0.122  27.65  23.25  20.44  17.23  17.02  18.15  14.06  13.14  
 0.0060   688.   -5.534  4.048  0.121  27.36  22.92  20.09  16.71  16.51  17.26  13.67  12.83  
 0.0070   760.   -5.365  4.117  0.121  27.03  22.55  19.74  16.16  16.01  16.38  13.26  12.55  
 0.0080   816.   -5.246  4.180  0.120  26.77  22.28  19.49  15.76  15.65  15.79  12.97  12.35  
 0.0090   886.   -5.103  4.232  0.120  26.45  21.96  19.19  15.32  15.23  15.16  12.63  12.13  
 0.0100   953.   -4.978  4.279  0.120  26.10  21.66  18.92  14.94  14.86  14.69  12.34  11.96  
 0.0120  1335.   -4.332  4.297  0.129  23.53  19.44  16.79  13.20  12.97  12.76  10.90  11.17  
 0.0150  1399.   -4.281  4.424  0.124  23.30  19.24  16.46  13.05  12.82  12.65  10.83  11.15  
 0.0200  1561.   -4.110  4.569  0.122  22.30  18.55  16.08  12.60  12.34  12.17  10.53  10.99  
 0.0300  1979.   -3.668  4.715  0.126  19.96  16.80  14.48  11.52  11.20  10.90   9.82  10.38  
 0.0400  2270.   -3.386  4.797  0.132  18.46  15.63  13.31  10.89  10.52  10.19   9.39   9.84  
 0.0500  2493.   -3.167  4.837  0.141  17.09  14.77  12.53  10.43  10.02   9.71   9.04   9.37  
 0.0600  2648.   -3.008  4.863  0.150  16.08  14.12  12.01  10.10   9.68   9.37   8.78   9.03  
 0.0700  2762.   -2.879  4.874  0.160  15.33  13.59  11.60   9.82   9.39   9.10   8.55   8.75  
 0.0720  2782.   -2.856  4.875  0.162  15.20  13.50  11.53   9.77   9.34   9.05   8.51   8.70  
 0.0750  2809.   -2.821  4.875  0.166  15.01  13.36  11.42   9.69   9.26   8.97   8.44   8.63  
 0.0800  2846.   -2.776  4.880  0.170  14.77  13.18  11.29   9.60   9.16   8.87   8.36   8.53  
 0.0900  2910.   -2.689  4.884  0.180  14.34  12.85  11.03   9.40   8.96   8.68   8.19   8.35  
 0.1000  2960.   -2.617  4.887  0.189  14.02  12.58  10.82   9.24   8.80   8.52   8.05   8.19  

